metro,city,year_month,house_count,power_use,bill
경상남도,진주시,2021-01,201254,243.51,29056
경상남도,사천시,2021-01,68359,215.68,25772
경상남도,창녕군,2021-01,38886,202.72,25733
경상남도,창원시 마산회원구,2021-01,95279,259.33,29971
경상남도,창원시 진해구,2021-01,105951,247.06,28474
경상남도,창원시 의창구,2021-01,140234,243.58,30001
경상남도,창원시 마산합포구,2021-01,101917,240.18,28645
경상남도,산청군,2021-01,22932,181.12,23628
경상남도,창원시 성산구,2021-01,101571,265.38,29358
경상남도,거창군,2021-01,36594,206.93,25243
제주특별자치도,제주시,2021-01,261433,249.19,32561
제주특별자치도,서귀포시,2021-01,102295,228.21,29871
세종특별자치시, ,2021-01,177603,287.63,32905
서울특별시,종로구,2021-02,87614,223.54,28093
서울특별시,도봉구,2021-02,147840,260.77,28095
서울특별시,은평구,2021-02,224652,253.67,29361
서울특별시,영등포구,2021-02,211211,230.95,24786
서울특별시,양천구,2021-02,191260,273.57,31582
서울특별시,서대문구,2021-02,159898,237.24,26637
서울특별시,강서구,2021-02,284118,235.02,25550
서울특별시,관악구,2021-02,300928,196.16,20377
서울특별시,중랑구,2021-02,194414,235.57,25691
서울특별시,강북구,2021-02,156539,236.45,26228
서울특별시,동대문구,2021-02,188742,233.1,25627
서울특별시,마포구,2021-02,194898,240.64,27029
서울특별시,구로구,2021-02,206411,245.06,26415
서울특별시,용산구,2021-02,124151,256.39,33282
서울특별시,서초구,2021-02,185094,283.75,36814
서울특별시,광진구,2021-02,186192,219.69,24727
서울특별시,노원구,2021-02,224565,265.54,26975
서울특별시,성북구,2021-02,211479,259.8,30291
서울특별시,동작구,2021-02,202592,227.63,25554
서울특별시,송파구,2021-02,285143,277.94,33124
서울특별시,금천구,2021-02,132652,217.49,22853
서울특별시,중구,2021-02,73166,228.24,26133
서울특별시,성동구,2021-02,140260,271.93,31023
서울특별시,강남구,2021-02,261968,260.4,31792
서울특별시,강동구,2021-02,208761,250.44,28705
부산광역시,부산진구,2021-02,196583,244.01,26458
부산광역시,사하구,2021-02,158541,243.42,25917
부산광역시,동래구,2021-02,127330,271.16,31285
부산광역시,동구,2021-02,54257,214.33,23727
부산광역시,영도구,2021-02,64203,223.48,24211
부산광역시,남구,2021-02,137333,257.29,29242
부산광역시,북구,2021-02,132835,261.51,27606
부산광역시,해운대구,2021-02,191601,280.01,31656
부산광역시,금정구,2021-02,129619,235.65,26704
부산광역시,수영구,2021-02,97201,244.1,27554
부산광역시,사상구,2021-02,107553,244.74,25807
부산광역시,기장군,2021-02,53908,228.14,25520
부산광역시,중구,2021-02,31847,175.91,19207
부산광역시,서구,2021-02,62531,224.35,25710
부산광역시,강서구,2021-02,69721,267.78,30693
부산광역시,연제구,2021-02,101939,268.73,30150
