ISO_CODE,metro,city,year_month,house_count,power_use,bill,total_usage
KR-11,서울특별시,마포구,2021-03,194841,205.17,20436,39975527.97
KR-11,서울특별시,영등포구,2021-03,211247,201.3,19881,42524021.1
KR-11,서울특별시,서초구,2021-03,185791,246.71,29103,45836497.61
KR-11,서울특별시,용산구,2021-03,124350,216.64,24641,26939184.0
KR-11,서울특별시,강서구,2021-03,283965,203.71,19868,57846510.15
KR-11,서울특별시,중랑구,2021-03,194506,202.63,19758,39412750.78
KR-11,서울특별시,노원구,2021-03,224408,226.73,20501,50880025.84
KR-11,서울특별시,양천구,2021-03,191296,237.02,24176,45340977.92
KR-11,서울특별시,광진구,2021-03,186234,186.01,18656,34641386.34
KR-11,서울특별시,강북구,2021-03,156545,198.55,19158,31082009.75
KR-26,부산광역시,북구,2021-03,132844,226.59,21677,30101121.96
KR-26,부산광역시,사하구,2021-03,158406,210.46,20121,33338126.76
KR-26,부산광역시,해운대구,2021-03,191586,241.72,24742,46310167.92
KR-26,부산광역시,중구,2021-03,31924,148.41,14170,4737840.84
KR-26,부산광역시,금정구,2021-03,129504,201.39,20136,26080810.56
KR-26,부산광역시,영도구,2021-03,64175,190.84,18305,12247157.0
KR-26,부산광역시,부산진구,2021-03,196571,210.8,20482,41437166.8
KR-26,부산광역시,동래구,2021-03,129111,229.82,23502,29672290.02
KR-26,부산광역시,남구,2021-03,137313,222.48,22719,30549396.24
KR-26,부산광역시,기장군,2021-03,53977,210.02,21799,11336249.54
KR-26,부산광역시,서구,2021-03,62458,192.08,19312,11996932.64
KR-26,부산광역시,사상구,2021-03,108101,207.29,19336,22408256.29
KR-26,부산광역시,동구,2021-03,54289,183.66,17781,9970717.74
KR-26,부산광역시,강서구,2021-03,69727,226.02,23050,15759696.54
KR-26,부산광역시,수영구,2021-03,97221,209.34,20923,20352244.14
KR-26,부산광역시,연제구,2021-03,102337,228.72,22798,23406518.64
KR-27,대구광역시,남구,2021-03,90651,179.09,17400,16234687.59
KR-27,대구광역시,중구,2021-03,49208,185.47,18012,9126607.76
KR-27,대구광역시,서구,2021-03,94900,190.26,18538,18055674.0
KR-27,대구광역시,달성군,2021-03,118846,226.95,21651,26972099.7
KR-27,대구광역시,수성구,2021-03,194957,240.95,24912,46974889.15
KR-27,대구광역시,달서구,2021-03,271133,226.21,21443,61332995.93
KR-27,대구광역시,동구,2021-03,179638,211.91,20419,38067088.58
KR-27,대구광역시,북구,2021-03,215510,223.94,21433,48261309.4
